INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I192074715,02629,Harassment,HARASSMENT,B2,278,,2018-01-01 00:00:00,2018,1,Monday,0,Part Two,HARRISON AVE,42.33153805,-71.08015661,"(42.33153805, -71.08015661)"
I192068538,01107,Fraud,FRAUD - IMPERSONATION,D14,794,,2018-01-01 00:00:00,2018,1,Monday,0,Part Two,GLENVILLE AVE,42.34977988,-71.13423049,"(42.34977988, -71.13423049)"
I192005657,02610,Other,TRESPASSING,C11,396,,2018-01-01 00:00:00,2018,1,Monday,0,Part Two,MELBOURNE ST,42.29109287,-71.06594539,"(42.29109287, -71.06594539)"
I192075335,03208,Property Lost,PROPERTY - MISSING,D4,132,,2018-01-01 00:00:00,2018,1,Monday,0,Part Three,COMMONWEALTH AVE,42.35352153,-71.07283786,"(42.35352153, -71.07283786)"
I192013179,00619,Larceny,LARCENY ALL OTHERS,C11,360,,2018-01-01 00:00:00,2018,1,Monday,0,Part One,CENTERVALE PARK,42.29632282,-71.06356881,"(42.29632282, -71.06356881)"
I182072846,00617,Larceny,LARCENY THEFT FROM BUILDING,C11,353,,2018-01-01 00:00:00,2018,1,Monday,0,Part One,FREEPORT ST,42.30149875,-71.05071215,"(42.30149875, -71.05071215)"
I182062368,02629,Harassment,HARASSMENT,B3,464,,2018-01-01 00:00:00,2018,1,Monday,0,Part Two,FABYAN ST,42.28976255,-71.09089843,"(42.28976255, -71.09089843)"
I182005214,00615,Larceny From Motor Vehicle,LARCENY THEFT OF MV PARTS & ACCESSORIES,D4,132,,2018-01-01 00:00:00,2018,1,Monday,0,Part One,MARLBOROUGH ST,42.3531455,-71.07763936,"(42.35314550, -71.07763936)"
I182024477,00619,Larceny,LARCENY ALL OTHERS,, ,,2018-01-01 00:00:00,2018,1,Monday,0,Part One,BUNKER HILL,,,
I182000585,00611,Larceny,LARCENY PICK-POCKET,A1, ,,2018-01-01 00:00:00,2018,1,Monday,0,Part One,,42.35547514,-71.06051814,"(42.35547514, -71.06051814)"
I182041136,00613,Larceny,LARCENY SHOPLIFTING,C6,174,,2018-01-01 00:00:00,2018,1,Monday,0,Part One,DORCHESTER AVE,42.33063626,-71.05696207,"(42.33063626, -71.05696207)"
I182017569,01402,Vandalism,VANDALISM,A1,61,,2018-01-01 00:00:00,2018,1,Monday,0,Part Two,LEGENDS WAY,42.36643546,-71.06135413,"(42.36643546, -71.06135413)"
I182022869,03201,Property Lost,PROPERTY - LOST,B2,281,,2018-01-01 00:00:00,2018,1,Monday,0,Part Three,GREENVILLE ST,42.32696802,-71.08051941,"(42.32696802, -71.08051941)"
I182073776,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,C11,355,,2018-01-01 00:00:00,2018,1,Monday,0,Part One,GIBSON ST,42.29755533,-71.0597091,"(42.29755533, -71.05970910)"
I182045689,01402,Vandalism,VANDALISM,C11,334,,2018-01-01 00:00:00,2018,1,Monday,0,Part Two,DOWNER CT,42.30985924,-71.06433641,"(42.30985924, -71.06433641)"
I182045689,02610,Other,TRESPASSING,C11,334,,2018-01-01 00:00:00,2018,1,Monday,0,Part Two,DOWNER CT,42.30985924,-71.06433641,"(42.30985924, -71.06433641)"
I182046204,03208,Property Lost,PROPERTY - MISSING,C11,349,,2018-01-01 00:00:00,2018,1,Monday,0,Part Three,DORCHESTER AVE,42.30340172,-71.0593763,"(42.30340172, -71.05937630)"
I182002477,03115,Investigate Person,INVESTIGATE PERSON,A15,900,,2018-01-01 00:00:00,2018,1,Monday,0,Part Three,MEDFORD ST,42.37923646,-71.05788916,"(42.37923646, -71.05788916)"
I182000061,03114,Investigate Property,INVESTIGATE PROPERTY,B3,463,,2018-01-01 00:00:00,2018,1,Monday,0,Part Three,AMERICAN LEGION HWY,42.29588434,-71.092206,"(42.29588434, -71.09220600)"
I182012121,03201,Property Lost,PROPERTY - LOST,B2,293,,2018-01-01 00:00:00,2018,1,Monday,0,Part Three,CEDAR ST,42.32655484,-71.09219288,"(42.32655484, -71.09219288)"
I182014918,03201,Property Lost,PROPERTY - LOST,B2,295,,2018-01-01 00:00:00,2018,1,Monday,0,Part Three,DABNEY ST,42.32451689,-71.0837703,"(42.32451689, -71.08377030)"
I182013332,02647,Other,THREATS TO DO BODILY HARM,D14,762,,2018-01-01 00:00:00,2018,1,Monday,0,Part Two,TRAPELO ST,42.34681745,-71.16122166,"(42.34681745, -71.16122166)"
I182011142,01109,Fraud,FRAUD - WIRE,D4,626,,2018-01-01 00:00:00,2018,1,Monday,0,Part Two,PARK DR,42.34160357,-71.0977175,"(42.34160357, -71.09771750)"
I182032936,03115,Investigate Person,INVESTIGATE PERSON,D14,799,,2018-01-01 00:00:00,2018,1,Monday,0,Part Three,GARDNER ST,42.35358822,-71.12689571,"(42.35358822, -71.12689571)"
I182028971,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,A1,102,,2018-01-01 00:00:00,2018,1,Monday,0,Part Two,WASHINGTON ST,42.35591935,-71.06000539,"(42.35591935, -71.06000539)"
I182000004,03802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,E13,634,,2018-01-01 00:02:00,2018,1,Monday,0,Part Three,CENTRE ST,42.3212743,-71.11030469,"(42.32127430, -71.11030469)"
I182000016,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11, ,,2018-01-01 00:15:00,2018,1,Monday,0,Part Three,FREEPORT ST,,,
I182000010,03802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,B3, ,,2018-01-01 00:15:00,2018,1,Monday,0,Part Three,CUMMINS HWY,,,
I182000009,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A1,76,,2018-01-01 00:19:00,2018,1,Monday,0,Part Three,CANAL ST,42.36489527,-71.06050249,"(42.36489527, -71.06050249)"
I182000009,03111,License Violation,LICENSE PREMISE VIOLATION,A1,76,,2018-01-01 00:19:00,2018,1,Monday,0,Part Three,CANAL ST,42.36489527,-71.06050249,"(42.36489527, -71.06050249)"
I182000027,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,A1,125,,2018-01-01 00:21:00,2018,1,Monday,0,Part Two,STUART ST,42.35064439,-71.06811584,"(42.35064439, -71.06811584)"
I182000027,03111,License Violation,LICENSE PREMISE VIOLATION,A1,125,,2018-01-01 00:21:00,2018,1,Monday,0,Part Three,STUART ST,42.35064439,-71.06811584,"(42.35064439, -71.06811584)"
I182001361,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,, ,,2018-01-01 00:30:00,2018,1,Monday,0,Part Three,,42.34790192,-71.07873972,"(42.34790192, -71.07873972)"
I182000070,03502,Missing Person Located,MISSING PERSON - LOCATED,D14,755,,2018-01-01 00:30:00,2018,1,Monday,0,Part Three,TREMONT ST,42.35115368,-71.17291563,"(42.35115368, -71.17291563)"
I182001361,00619,Larceny,LARCENY ALL OTHERS,, ,,2018-01-01 00:30:00,2018,1,Monday,0,Part One,,42.34790192,-71.07873972,"(42.34790192, -71.07873972)"
I182000014,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,D14,794,,2018-01-01 00:38:00,2018,1,Monday,0,Part Two,BRIGHTON AVE,42.35301119,-71.13261451,"(42.35301119, -71.13261451)"
I182000013,03114,Investigate Property,INVESTIGATE PROPERTY,B3,458,,2018-01-01 00:45:00,2018,1,Monday,0,Part Three,OLD RD,42.30226502,-71.08494674,"(42.30226502, -71.08494674)"
I182000017,03304,Assembly or Gathering Violations,NOISY PARTY/RADIO-NO ARREST,B2,606,,2018-01-01 00:47:00,2018,1,Monday,0,Part Three,HUNTINGTON AVE,42.33225457,-71.11160342,"(42.33225457, -71.11160342)"
I182000028,02900,Other,VAL - VIOLATION OF AUTO LAW - OTHER,D14,777,,2018-01-01 00:58:00,2018,1,Monday,0,Part Two,WINSHIP ST,42.34630723,-71.15231969,"(42.34630723, -71.15231969)"
I182000625,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,A1,128,,2018-01-01 01:00:00,2018,1,Monday,1,Part Two,COLUMBUS AVE,42.34944475,-71.07072461,"(42.34944475, -71.07072461)"
I182000625,01402,Vandalism,VANDALISM,A1,128,,2018-01-01 01:00:00,2018,1,Monday,1,Part Two,COLUMBUS AVE,42.34944475,-71.07072461,"(42.34944475, -71.07072461)"
I182000493,00619,Larceny,LARCENY ALL OTHERS,D14,802,,2018-01-01 01:00:00,2018,1,Monday,1,Part One,HARVARD AVE,42.35375411,-71.13225621,"(42.35375411, -71.13225621)"
I182000024,02101,Operating Under the Influence,OPERATING UNDER THE INFLUENCE ALCOHOL,D14,775,,2018-01-01 01:04:00,2018,1,Monday,1,Part Two,CHESTNUT HILL AVE,42.34277452,-71.15374397,"(42.34277452, -71.15374397)"
I182000020,02405,Disorderly Conduct,DISORDERLY CONDUCT,C6,206,,2018-01-01 01:10:00,2018,1,Monday,1,Part Two,SEAPORT BLVD,42.35325379,-71.0487241,"(42.35325379, -71.04872410)"
I182000019,03301,Verbal Disputes,VERBAL DISPUTE,E18,493,,2018-01-01 01:15:00,2018,1,Monday,1,Part Three,RIVER ST,42.2613358,-71.11233325,"(42.26133580, -71.11233325)"
I182000031,03803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,C11,462,,2018-01-01 01:16:00,2018,1,Monday,1,Part Three,BULLARD ST,42.30238445,-71.07238956,"(42.30238445, -71.07238956)"
I182000155,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,439,,2018-01-01 01:30:00,2018,1,Monday,1,Part Three,STRATTON ST,42.29017432,-71.08808525,"(42.29017432, -71.08808525)"
I182000763,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,A15,47,,2018-01-01 01:30:00,2018,1,Monday,1,Part One,MEDFORD ST,42.38374886,-71.06949131,"(42.38374886, -71.06949131)"
I182000025,02900,Other,VAL - VIOLATION OF AUTO LAW - OTHER,C6,191,,2018-01-01 01:30:00,2018,1,Monday,1,Part Two,PREBLE ST,42.32949944,-71.05701312,"(42.32949944, -71.05701312)"
I182000022,03802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,E13,302,,2018-01-01 01:34:00,2018,1,Monday,1,Part Three,COLUMBUS AVE,42.32492546,-71.09839601,"(42.32492546, -71.09839601)"
I182000032,02101,Operating Under the Influence,OPERATING UNDER THE INFLUENCE ALCOHOL,D4,146,,2018-01-01 01:34:00,2018,1,Monday,1,Part Two,HUNTINGTON AVE,42.34665908,-71.07997968,"(42.34665908, -71.07997968)"
I182000030,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,E5,681,,2018-01-01 01:35:00,2018,1,Monday,1,Part Two,CORNELL ST,42.2801126,-71.13637166,"(42.28011260, -71.13637166)"
I182000021,00724,Auto Theft,AUTO THEFT,B3,464,,2018-01-01 01:44:00,2018,1,Monday,1,Part One,FABYAN ST,42.28976255,-71.09089843,"(42.28976255, -71.09089843)"
I182000033,03115,Investigate Person,INVESTIGATE PERSON,C11,336,,2018-01-01 01:45:00,2018,1,Monday,1,Part Three,BARRY ST,42.30738534,-71.07028887,"(42.30738534, -71.07028887)"
I182000058,03625,Other,DANGEROUS OR HAZARDOUS CONDITION,A1,70,,2018-01-01 01:45:00,2018,1,Monday,1,Part Three,CHARLES ST,42.35645514,-71.06956975,"(42.35645514, -71.06956975)"
I182000023,00724,Auto Theft,AUTO THEFT,B2,237,,2018-01-01 01:50:00,2018,1,Monday,1,Part One,COLUMBIA RD,42.31988591,-71.06256311,"(42.31988591, -71.06256311)"
I182000036,03125,Warrant Arrests,WARRANT ARREST,A1,120,,2018-01-01 01:53:00,2018,1,Monday,1,Part Three,PARK PLZ,42.35143483,-71.06969334,"(42.35143483, -71.06969334)"
I182000041,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,A1,108,,2018-01-01 01:55:00,2018,1,Monday,1,Part Two,HIGH ST,42.35407456,-71.05533533,"(42.35407456, -71.05533533)"
