INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I182050863,02629,Harassment,HARASSMENT,A1,123,,2017-01-01 00:00:00,2017,1,Sunday,0,Part Two,KNEELAND ST,42.35082577,-71.06262352,"(42.35082577, -71.06262352)"
I172089248,03112,Landlord/Tenant Disputes,LANDLORD - TENANT SERVICE,E13,578,,2017-01-01 00:00:00,2017,1,Sunday,0,Part Three,PAUL GORE ST,42.32030543,-71.10966668,"(42.32030543, -71.10966668)"
I172089248,02629,Harassment,HARASSMENT,E13,578,,2017-01-01 00:00:00,2017,1,Sunday,0,Part Two,PAUL GORE ST,42.32030543,-71.10966668,"(42.32030543, -71.10966668)"
I192021827,00619,Larceny,LARCENY ALL OTHERS,C11,340,,2017-01-01 00:00:00,2017,1,Sunday,0,Part One,FOX ST,42.30609597,-71.06425709,"(42.30609597, -71.06425709)"
I182058070,03201,Property Lost,PROPERTY - LOST,C11,335,,2017-01-01 00:00:00,2017,1,Sunday,0,Part Three,BOWDOIN ST,42.30648026,-71.06675783,"(42.30648026, -71.06675783)"
I192061205,01107,Fraud,FRAUD - IMPERSONATION,B2,276,,2017-01-01 00:00:00,2017,1,Sunday,0,Part Two,SHAWMUT AVE,42.33248759,-71.08365801,"(42.33248759, -71.08365801)"
I172054368,03201,Property Lost,PROPERTY - LOST,E18,487,,2017-01-01 00:00:00,2017,1,Sunday,0,Part Three,ROSEMONT ST,42.26500784,-71.10472372,"(42.26500784, -71.10472372)"
I172016063,03201,Property Lost,PROPERTY - LOST,D4,149,,2017-01-01 00:00:00,2017,1,Sunday,0,Part Three,COLUMBUS AVE,42.34563477,-71.07555367,"(42.34563477, -71.07555367)"
I172014965,01102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,E5,735,,2017-01-01 00:00:00,2017,1,Sunday,0,Part Two,ATWILL RD,42.28515253,-71.15908078,"(42.28515253, -71.15908078)"
I172022962,01106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,C6,177,,2017-01-01 00:00:00,2017,1,Sunday,0,Part Two,NEW SUDBURY ST,42.36183857,-71.05976489,"(42.36183857, -71.05976489)"
I172040920,03115,Investigate Person,INVESTIGATE PERSON,E13,307,,2017-01-01 00:00:00,2017,1,Sunday,0,Part Three,WARDMAN RD,42.31529421,-71.09486034,"(42.31529421, -71.09486034)"
I172088478,02629,Harassment,HARASSMENT,E5,694,,2017-01-01 00:00:00,2017,1,Sunday,0,Part Two,WELD ST,42.29167443,-71.16014466,"(42.29167443, -71.16014466)"
I172044931,02629,Harassment,HARASSMENT,C11,357,,2017-01-01 00:00:00,2017,1,Sunday,0,Part Two,CLAYBOURNE ST,42.29915578,-71.07252754,"(42.29915578, -71.07252754)"
I172058287,01106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,E13,916,,2017-01-01 00:00:00,2017,1,Sunday,0,Part Two,BICKFORD ST,42.32483301,-71.10164757,"(42.32483301, -71.10164757)"
I172000702,03114,Investigate Property,INVESTIGATE PROPERTY,C11,257,,2017-01-01 00:00:00,2017,1,Sunday,0,Part Three,SCHROEDER PLZ,42.33367922,-71.09187755,"(42.33367922, -71.09187755)"
