INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
192017144,3201,,PROPERTY - LOST,D4,167,0,2019-01-01 00:00:00,2019,1,Tuesday,0,,HARRISON AVE,42.33496089,-71.07512604,"(42.33496089, -71.07512604)"
192001553,3201,,PROPERTY - LOST,D4,128,0,2019-01-01 00:00:00,2019,1,Tuesday,0,,STANHOPE ST,42.34868906,-71.07257996,"(42.34868906, -71.07257996)"
192000804,2629,,HARASSMENT,B3,417,0,2019-01-01 00:00:00,2019,1,Tuesday,0,,MORA ST,42.28208187,-71.07364878,"(42.28208187, -71.07364878)"
192065160,619,,LARCENY ALL OTHERS,, ,0,2019-01-01 00:00:00,2019,1,Tuesday,0,,  BSTN MA ,,,
192007583,2647,,THREATS TO DO BODILY HARM,C11,393,0,2019-01-01 00:00:00,2019,1,Tuesday,0,,FLORIDA ST,42.28787659,-71.05839667,"(42.28787659, -71.05839667)"
192042989,3201,,PROPERTY - LOST,D4, ,0,2019-01-01 00:00:00,2019,1,Tuesday,0,,HARRISON AVE,42.33496089,-71.07512604,"(42.33496089, -71.07512604)"
192020384,3205,,M/V PLATES - LOST,B2,330,0,2019-01-01 00:00:00,2019,1,Tuesday,0,,COLUMBIA RD,42.30524741,-71.08089422,"(42.30524741, -71.08089422)"
192033744,2629,,HARASSMENT,A1,77,0,2019-01-01 00:00:00,2019,1,Tuesday,0,,NEW SUDBURY ST,42.36183845,-71.05976493,"(42.36183845, -71.05976493)"
192014219,3201,,PROPERTY - LOST,D4,165,0,2019-01-01 00:00:00,2019,1,Tuesday,0,,HARRISON AVE,42.34302515,-71.0649397,"(42.34302515, -71.0649397)"
192024554,1102,,FRAUD - FALSE PRETENSE / SCHEME,B2,266,0,2019-01-01 00:00:00,2019,1,Tuesday,0,,WINTHROP ST,42.32506211,-71.07895083,"(42.32506211, -71.07895083)"
192044182,2629,,HARASSMENT,E13,304,0,2019-01-01 00:00:00,2019,1,Tuesday,0,,WASHINGTON ST,42.31667103,-71.09743708,"(42.31667103, -71.09743708)"
