INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I162000034,03801,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER,B3,463,,2016-01-01 01:35:00,2016,1,Friday,1,Part Three,ANGELL ST,42.2953458,-71.08790188,"(42.29534580, -71.08790188)"
I162000034,03802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,B3,463,,2016-01-01 01:35:00,2016,1,Friday,1,Part Three,ANGELL ST,42.2953458,-71.08790188,"(42.29534580, -71.08790188)"
I162000033,03201,Property Lost,PROPERTY - LOST,A1,118,,2016-01-01 01:37:00,2016,1,Friday,1,Part Three,BOYLSTON ST,42.35241815,-71.06525499,"(42.35241815, -71.06525499)"
I162000035,03115,Investigate Person,INVESTIGATE PERSON,C11,333,,2016-01-01 01:37:00,2016,1,Friday,1,Part Three,BELLEVUE ST,42.30983229,-71.06817322,"(42.30983229, -71.06817322)"
I162000029,02403,Disorderly Conduct,DISTURBING THE PEACE,B2,901,,2016-01-01 01:38:00,2016,1,Friday,1,Part Two,HORADAN WAY,42.33471058,-71.09938904,"(42.33471058, -71.09938904)"
I162000029,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,B2,901,,2016-01-01 01:38:00,2016,1,Friday,1,Part Two,HORADAN WAY,42.33471058,-71.09938904,"(42.33471058, -71.09938904)"
I162000029,02610,Other,TRESPASSING,B2,901,,2016-01-01 01:38:00,2016,1,Friday,1,Part Two,HORADAN WAY,42.33471058,-71.09938904,"(42.33471058, -71.09938904)"
I162000039,03301,Verbal Disputes,VERBAL DISPUTE,B2,911,,2016-01-01 01:39:00,2016,1,Friday,1,Part Three,ANNUNCIATION RD,42.33506218,-71.09316781,"(42.33506218, -71.09316781)"
I162000075,00617,Larceny,LARCENY THEFT FROM BUILDING,B2,291,,2016-01-01 01:42:00,2016,1,Friday,1,Part One,CENTRE ST,42.32955354,-71.09357444,"(42.32955354, -71.09357444)"
I162000051,03007,Medical Assistance,SUDDEN DEATH,A1,94,,2016-01-01 01:51:00,2016,1,Friday,1,Part Three,FANEUIL HALL MARKETPLACE,42.3603996,-71.05482846,"(42.36039960, -71.05482846)"
I162000036,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A1,118,,2016-01-01 01:54:00,2016,1,Friday,1,Part Three,BOYLSTON PL,42.35211138,-71.06597576,"(42.35211138, -71.06597576)"
I162000042,03115,Investigate Person,INVESTIGATE PERSON,A7,26,,2016-01-01 01:58:00,2016,1,Friday,1,Part Three,MERIDIAN ST,42.38167191,-71.03928397,"(42.38167191, -71.03928397)"
I162000921,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,262,,2016-01-01 02:00:00,2016,1,Friday,2,Part Three,MORELAND ST,42.32264639,-71.07603808,"(42.32264639, -71.07603808)"
I162000169,03201,Property Lost,PROPERTY - LOST,A1,121,,2016-01-01 02:00:00,2016,1,Friday,2,Part Three,WARRENTON ST,42.35066174,-71.06602232,"(42.35066174, -71.06602232)"
I162000217,00724,Auto Theft,AUTO THEFT,C11,291,,2016-01-01 02:00:00,2016,1,Friday,2,Part One,CENTRE ST,42.32955354,-71.09357444,"(42.32955354, -71.09357444)"
I162000049,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,A1,92,,2016-01-01 02:06:00,2016,1,Friday,2,Part Two,CITY HALL PLZ,42.35972137,-71.0585236,"(42.35972137, -71.05852360)"
I162000049,02405,Disorderly Conduct,DISORDERLY CONDUCT,A1,92,,2016-01-01 02:06:00,2016,1,Friday,2,Part Two,CITY HALL PLZ,42.35972137,-71.0585236,"(42.35972137, -71.05852360)"
I162000049,02610,Other,TRESPASSING,A1,92,,2016-01-01 02:06:00,2016,1,Friday,2,Part Two,CITY HALL PLZ,42.35972137,-71.0585236,"(42.35972137, -71.05852360)"
I162000037,03018,Medical Assistance,SICK/INJURED/MEDICAL - POLICE,D4,160,,2016-01-01 02:10:00,2016,1,Friday,2,Part Three,E BERKELEY ST,42.34449246,-71.06755907,"(42.34449246, -71.06755907)"
I162000249,01402,Vandalism,VANDALISM,C11,257,,2016-01-01 02:15:00,2016,1,Friday,2,Part Two,EVERETT AVE,42.31526714,-71.0630687,"(42.31526714, -71.06306870)"
I162000107,03115,Investigate Person,INVESTIGATE PERSON,C11,334,,2016-01-01 02:18:00,2016,1,Friday,2,Part Three,HOWE ST,42.31136188,-71.0644231,"(42.31136188, -71.06442310)"
I162000057,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D14,758,,2016-01-01 02:20:00,2016,1,Friday,2,Part One,BRACKETT ST,42.35110337,-71.16524536,"(42.35110337, -71.16524536)"
I162000053,03111,License Violation,LICENSE PREMISE VIOLATION,A7,27,,2016-01-01 02:23:00,2016,1,Friday,2,Part Three,MAVERICK ST,42.37029336,-71.03925861,"(42.37029336, -71.03925861)"
I162000225,03502,Missing Person Located,MISSING PERSON - LOCATED,B2,327,,2016-01-01 02:30:00,2016,1,Friday,2,Part Three,CUNNINGHAM ST,42.31426769,-71.07383064,"(42.31426769, -71.07383064)"
I162000225,03501,Missing Person Reported,MISSING PERSON,B2,327,,2016-01-01 02:30:00,2016,1,Friday,2,Part Three,CUNNINGHAM ST,42.31426769,-71.07383064,"(42.31426769, -71.07383064)"
I162000469,00724,Auto Theft,AUTO THEFT,A1,127,,2016-01-01 02:30:00,2016,1,Friday,2,Part One,TREMONT ST,42.34855133,-71.06702716,"(42.34855133, -71.06702716)"
I162000052,03802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,D4,167,,2016-01-01 02:33:00,2016,1,Friday,2,Part Three,HARRISON AVE,42.33954199,-71.06940877,"(42.33954199, -71.06940877)"
I162000054,03802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,C11,918,,2016-01-01 02:33:00,2016,1,Friday,2,Part Three,SUMNER ST,42.31777605,-71.0619754,"(42.31777605, -71.06197540)"
I162000069,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,D4,143,,2016-01-01 02:39:00,2016,1,Friday,2,Part Three,DALTON ST,42.3457782,-71.08429595,"(42.34577820, -71.08429595)"
I162000074,02610,Other,TRESPASSING,B3,427,,2016-01-01 02:45:00,2016,1,Friday,2,Part Two,NORFOLK ST,42.2766839,-71.09240248,"(42.27668390, -71.09240248)"
I162000074,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,B3,427,,2016-01-01 02:45:00,2016,1,Friday,2,Part Two,NORFOLK ST,42.2766839,-71.09240248,"(42.27668390, -71.09240248)"
I162000070,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,A15,58,,2016-01-01 02:48:00,2016,1,Friday,2,Part Three,DUNSTABLE ST,42.376852,-71.06887255,"(42.37685200, -71.06887255)"
I162000061,03820,Motor Vehicle Accident Response,M/V ACCIDENT INVOLVING PEDESTRIAN - INJURY,D14,820,,2016-01-01 02:50:00,2016,1,Friday,2,Part Three,CAMBRIDGE ST,42.35602999,-71.13132737,"(42.35602999, -71.13132737)"
I162000050,03018,Medical Assistance,SICK/INJURED/MEDICAL - POLICE,A1,92,,2016-01-01 02:51:00,2016,1,Friday,2,Part Three,CITY HALL PLZ,42.35972137,-71.0585236,"(42.35972137, -71.05852360)"
I162006564,01402,Vandalism,VANDALISM,D4,623,,2016-01-01 02:54:00,2016,1,Friday,2,Part Two,COMMONWEALTH AVE,42.349155,-71.09392109,"(42.34915500, -71.09392109)"
I162000058,03114,Investigate Property,INVESTIGATE PROPERTY,B2,286,,2016-01-01 02:59:00,2016,1,Friday,2,Part Three,RUGGLES ST,42.3337596,-71.08684747,"(42.33375960, -71.08684747)"
I162000221,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,C11,334,,2016-01-01 03:00:00,2016,1,Friday,3,Part One,CAMERON ST,42.31086884,-71.06319661,"(42.31086884, -71.06319661)"
I162000221,01402,Vandalism,VANDALISM,C11,334,,2016-01-01 03:00:00,2016,1,Friday,3,Part Two,CAMERON ST,42.31086884,-71.06319661,"(42.31086884, -71.06319661)"
I162000247,01402,Vandalism,VANDALISM,C11,257,,2016-01-01 03:00:00,2016,1,Friday,3,Part Two,EVERETT AVE,42.31526714,-71.0630687,"(42.31526714, -71.06306870)"
I162000066,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,D4,138,,2016-01-01 03:06:00,2016,1,Friday,3,Part Three,BOYLSTON ST,42.34980175,-71.07840978,"(42.34980175, -71.07840978)"
I162000071,02900,Other,VAL - VIOLATION OF AUTO LAW - OTHER,C6,189,,2016-01-01 03:11:00,2016,1,Friday,3,Part Two,DORCHESTER AVE,42.32206077,-71.05680459,"(42.32206077, -71.05680459)"
I162000079,02403,Disorderly Conduct,DISTURBING THE PEACE,C11,373,,2016-01-01 03:13:00,2016,1,Friday,3,Part Two,WILLIAM T MORRISSEY BLVD,42.29258323,-71.04776198,"(42.29258323, -71.04776198)"
I162000079,02646,Liquor Violation,LIQUOR - DRINKING IN PUBLIC,C11,373,,2016-01-01 03:13:00,2016,1,Friday,3,Part Two,WILLIAM T MORRISSEY BLVD,42.29258323,-71.04776198,"(42.29258323, -71.04776198)"
I162000079,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,373,,2016-01-01 03:13:00,2016,1,Friday,3,Part Two,WILLIAM T MORRISSEY BLVD,42.29258323,-71.04776198,"(42.29258323, -71.04776198)"
I162000079,02660,Other,OTHER OFFENSE,C11,373,,2016-01-01 03:13:00,2016,1,Friday,3,Part Two,WILLIAM T MORRISSEY BLVD,42.29258323,-71.04776198,"(42.29258323, -71.04776198)"
I162000059,00801,Simple Assault,ASSAULT - SIMPLE,A1,125,,2016-01-01 03:13:00,2016,1,Friday,3,Part Two,ARLINGTON ST,42.34990221,-71.06981556,"(42.34990221, -71.06981556)"
I162000059,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,A1,125,,2016-01-01 03:13:00,2016,1,Friday,3,Part Two,ARLINGTON ST,42.34990221,-71.06981556,"(42.34990221, -71.06981556)"
I162000085,03802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,E13,634,,2016-01-01 03:17:00,2016,1,Friday,3,Part Three,S HUNTINGTON AVE,42.3199847,-71.11134487,"(42.31998470, -71.11134487)"
I162000060,03207,Property Found,PROPERTY - FOUND,D4,142,,2016-01-01 03:18:00,2016,1,Friday,3,Part Three,BOYLSTON ST,42.34795366,-71.08526786,"(42.34795366, -71.08526786)"
I162000090,00423,Aggravated Assault,ASSAULT - AGGRAVATED,E5,563,,2016-01-01 03:26:00,2016,1,Friday,3,Part One,FLORENCE ST,42.28751274,-71.1218633,"(42.28751274, -71.12186330)"
I162000090,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E5,563,,2016-01-01 03:26:00,2016,1,Friday,3,Part One,FLORENCE ST,42.28751274,-71.1218633,"(42.28751274, -71.12186330)"
I162000515,02647,Other,THREATS TO DO BODILY HARM,D4,179,,2016-01-01 03:30:00,2016,1,Friday,3,Part Two,MASSACHUSETTS AVE,42.33285585,-71.07262418,"(42.33285585, -71.07262418)"
I162000068,02401,Disorderly Conduct,AFFRAY,B3,426,,2016-01-01 03:34:00,2016,1,Friday,3,Part Two,RIVER ST,42.268024,-71.09301057,"(42.26802400, -71.09301057)"
I162000087,02401,Disorderly Conduct,AFFRAY,B3,426,,2016-01-01 03:34:00,2016,1,Friday,3,Part Two,RIVER ST,42.268024,-71.09301057,"(42.26802400, -71.09301057)"
I162000087,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,B3,426,,2016-01-01 03:34:00,2016,1,Friday,3,Part Two,RIVER ST,42.268024,-71.09301057,"(42.26802400, -71.09301057)"
I162000087,02405,Disorderly Conduct,DISORDERLY CONDUCT,B3,426,,2016-01-01 03:34:00,2016,1,Friday,3,Part Two,RIVER ST,42.268024,-71.09301057,"(42.26802400, -71.09301057)"
I162000072,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,C6,936,,2016-01-01 03:41:00,2016,1,Friday,3,Part Two,DALESSIO CT,42.33913252,-71.05465387,"(42.33913252, -71.05465387)"
I162000072,00301,Robbery,ROBBERY - STREET,C6,936,,2016-01-01 03:41:00,2016,1,Friday,3,Part One,DALESSIO CT,42.33913252,-71.05465387,"(42.33913252, -71.05465387)"
I162000073,03115,Investigate Person,INVESTIGATE PERSON,C11,358,,2016-01-01 03:44:00,2016,1,Friday,3,Part Three,KENBERMA RD,42.29589653,-71.07216716,"(42.29589653, -71.07216716)"
I162000907,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,444,,2016-01-01 03:45:00,2016,1,Friday,3,Part Three,AMERICAN LEGION HWY,42.29817919,-71.08692159,"(42.29817919, -71.08692159)"
I162000108,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,336,,2016-01-01 03:53:00,2016,1,Friday,3,Part Two,BOWDOIN ST,42.30573977,-71.06762362,"(42.30573977, -71.06762362)"
I162000080,03802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,C11,347,,2016-01-01 03:55:00,2016,1,Friday,3,Part Three,HECLA ST,42.30682138,-71.06030035,"(42.30682138, -71.06030035)"
I162000081,01402,Vandalism,VANDALISM,E5,681,,2016-01-01 04:03:00,2016,1,Friday,4,Part Two,CORNELL ST,42.2801126,-71.13637166,"(42.28011260, -71.13637166)"
I162000084,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,A1,123,,2016-01-01 04:08:00,2016,1,Friday,4,Part Three,SOLDIERS FIELD RD,42.35891094,-71.15765076,"(42.35891094, -71.15765076)"
I162000091,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,C6,179,,2016-01-01 04:12:00,2016,1,Friday,4,Part Three, MASSACHUSETTS AVE ,42.332531,-71.07213,"(42.33253100, -71.07213000)"
I162000097,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,D4,629,,2016-01-01 04:15:00,2016,1,Friday,4,Part Three,PARK DR,42.3454155,-71.1044435,"(42.34541550, -71.10444350)"
I162000088,03114,Investigate Property,INVESTIGATE PROPERTY,E13,906,,2016-01-01 04:25:00,2016,1,Friday,4,Part Three,HEATH ST,42.32624204,-71.10317575,"(42.32624204, -71.10317575)"
I162000096,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B3,943,,2016-01-01 04:26:00,2016,1,Friday,4,Part One,STANDARD ST,42.27661501,-71.08029831,"(42.27661501, -71.08029831)"
I162000103,03114,Investigate Property,INVESTIGATE PROPERTY,A7,17,,2016-01-01 04:33:00,2016,1,Friday,4,Part Three,CHELSEA ST,42.37977166,-71.02730041,"(42.37977166, -71.02730041)"
