INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I192014489,01107,Fraud,FRAUD - IMPERSONATION,C11,352,,2016-01-01 00:00:00,2016,1,Friday,0,Part Two,DITSON ST,42.30108481,-71.06390782,"(42.30108481, -71.06390782)"
I182010615,02629,Harassment,HARASSMENT,D4,161,,2016-01-01 00:00:00,2016,1,Friday,0,Part Two,TREMONT ST,42.34701666,-71.06886238,"(42.34701666, -71.06886238)"
I182008540,01201,Embezzlement,EMBEZZLEMENT,A1,122,,2016-01-01 00:00:00,2016,1,Friday,0,Part Two,WASHINGTON ST,42.35000492,-71.06359053,"(42.35000492, -71.06359053)"
I192039161,00423,Aggravated Assault,ASSAULT - AGGRAVATED,B2,330,,2016-01-01 00:00:00,2016,1,Friday,0,Part One,COLUMBIA RD,42.30524752,-71.08089418,"(42.30524752, -71.08089418)"
I182055060,02629,Harassment,HARASSMENT,E5,562,,2016-01-01 00:00:00,2016,1,Friday,0,Part Two,WASHINGTON ST,42.28788933,-71.12658585,"(42.28788933, -71.12658585)"
I162091240,03201,Property Lost,PROPERTY - LOST,B3,445,,2016-01-01 00:00:00,2016,1,Friday,0,Part Three,GREENWOOD ST,42.29806655,-71.07967703,"(42.29806655, -71.07967703)"
I172006977,01109,Fraud,FRAUD - WIRE,C11,451,,2016-01-01 00:00:00,2016,1,Friday,0,Part Two,WASHINGTON ST,42.29481426,-71.07200871,"(42.29481426, -71.07200871)"
I162049563,00617,Larceny,LARCENY THEFT FROM BUILDING,D14,938,,2016-01-01 00:00:00,2016,1,Friday,0,Part One,FIDELIS WAY,42.34531664,-71.14298078,"(42.34531664, -71.14298078)"
I162010846,02647,Other,THREATS TO DO BODILY HARM,C11,542,,2016-01-01 00:00:00,2016,1,Friday,0,Part Two,BARRY ST,42.30870401,-71.06844484,"(42.30870401, -71.06844484)"
I162020140,03115,Investigate Person,INVESTIGATE PERSON,D4,619,,2016-01-01 00:00:00,2016,1,Friday,0,Part Three,WESTLAND AVE,42.34376458,-71.08866865,"(42.34376458, -71.08866865)"
I162046288,03115,Investigate Person,INVESTIGATE PERSON,A1,90,,2016-01-01 00:00:00,2016,1,Friday,0,Part Three,COMMERCIAL ST,42.36579076,-71.05116185,"(42.36579076, -71.05116185)"
I162000796,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,435,,2016-01-01 00:00:00,2016,1,Friday,0,Part Three,WASHINGTON ST,42.28581121,-71.07115483,"(42.28581121, -71.07115483)"
I162026279,03201,Property Lost,PROPERTY - LOST,C11,337,,2016-01-01 00:00:00,2016,1,Friday,0,Part Three,DAVIDSON AVE,42.30633571,-71.07060386,"(42.30633571, -71.07060386)"
I162027922,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,C6,913,,2016-01-01 00:01:00,2016,1,Friday,0,Part One,MOUNT VERNON ST,42.31893277,-71.04541663,"(42.31893277, -71.04541663)"
I162016391,03201,Property Lost,PROPERTY - LOST,D14,770,,2016-01-01 00:01:00,2016,1,Friday,0,Part Three,ARLINGTON ST,42.35175679,-71.15229901,"(42.35175679, -71.15229901)"
I162009727,01106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,C6,199,,2016-01-01 00:01:00,2016,1,Friday,0,Part Two,W FOURTH ST,42.34082366,-71.0558791,"(42.34082366, -71.05587910)"
I162067133,03115,Investigate Person,INVESTIGATE PERSON,C6,193,,2016-01-01 00:05:00,2016,1,Friday,0,Part Three,VINTON ST,42.32995513,-71.05369679,"(42.32995513, -71.05369679)"
I162000012,00801,Simple Assault,ASSAULT - SIMPLE,C6,186,,2016-01-01 00:09:00,2016,1,Friday,0,Part Two,BOSTON ST,42.32692112,-71.05841861,"(42.32692112, -71.05841861)"
I162000078,00423,Aggravated Assault,ASSAULT - AGGRAVATED,B2,297,,2016-01-01 00:13:00,2016,1,Friday,0,Part One,ROCKLAND ST,42.32195809,-71.08351213,"(42.32195809, -71.08351213)"
I162000005,03115,Investigate Person,INVESTIGATE PERSON,B2,904,,2016-01-01 00:14:00,2016,1,Friday,0,Part Three,SHABAZZ WAY,42.32977778,-71.08079561,"(42.32977778, -71.08079561)"
I162000010,02610,Other,TRESPASSING,A1,103,,2016-01-01 00:15:00,2016,1,Friday,0,Part Two,SCHOOL ST,42.3575462,-71.05881953,"(42.35754620, -71.05881953)"
I162000010,02204,Liquor Violation,LIQUOR LAW VIOLATION,A1,103,,2016-01-01 00:15:00,2016,1,Friday,0,Part Two,SCHOOL ST,42.3575462,-71.05881953,"(42.35754620, -71.05881953)"
I162000010,00613,Larceny,LARCENY SHOPLIFTING,A1,103,,2016-01-01 00:15:00,2016,1,Friday,0,Part One,SCHOOL ST,42.3575462,-71.05881953,"(42.35754620, -71.05881953)"
I162000328,03201,Property Lost,PROPERTY - LOST,A1,122,,2016-01-01 00:15:00,2016,1,Friday,0,Part Three,TREMONT ST,42.34942864,-71.06536641,"(42.34942864, -71.06536641)"
I162000328,03111,License Violation,LICENSE PREMISE VIOLATION,A1,122,,2016-01-01 00:15:00,2016,1,Friday,0,Part Three,TREMONT ST,42.34942864,-71.06536641,"(42.34942864, -71.06536641)"
I162000117,00612,Larceny,LARCENY PURSE SNATCH - NO FORCE ,C11,257,,2016-01-01 00:16:00,2016,1,Friday,0,Part One,TREMONT ST,42.356585,-71.06189505,"(42.35658500, -71.06189505)"
I162000008,03114,Investigate Property,INVESTIGATE PROPERTY,C11,346,,2016-01-01 00:28:00,2016,1,Friday,0,Part Three,ADAMS ST,42.30497366,-71.06134412,"(42.30497366, -71.06134412)"
I162000202,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,D4,627,,2016-01-01 00:30:00,2016,1,Friday,0,Part One,BOYLSTON ST,42.3436134,-71.10130276,"(42.34361340, -71.10130276)"
I162000013,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A1,111,,2016-01-01 00:30:00,2016,1,Friday,0,Part Three,ESSEX ST,42.35237253,-71.06260897,"(42.35237253, -71.06260897)"
I162005414,01402,Vandalism,VANDALISM,B2,329,,2016-01-01 00:30:00,2016,1,Friday,0,Part Two,STANWOOD ST,42.30870132,-71.07932755,"(42.30870132, -71.07932755)"
I162000043,03111,License Violation,LICENSE PREMISE VIOLATION,A1,75,,2016-01-01 00:35:00,2016,1,Friday,0,Part Three,PORTLAND ST,42.3642384,-71.06165515,"(42.36423840, -71.06165515)"
I162000017,02629,Harassment,HARASSMENT,D4,145,,2016-01-01 00:37:00,2016,1,Friday,0,Part Two,HUNTINGTON AVE,42.34481182,-71.08234324,"(42.34481182, -71.08234324)"
I162000009,02403,Disorderly Conduct,DISTURBING THE PEACE,B2,318,,2016-01-01 00:38:00,2016,1,Friday,0,Part Two,ELM HILL AVE,42.30901945,-71.0878912,"(42.30901945, -71.08789120)"
I162000015,00900,Arson,ARSON,A7,12,,2016-01-01 00:39:00,2016,1,Friday,0,Other,BRANDYWYNE DR,42.38783615,-71.01203798,"(42.38783615, -71.01203798)"
I162000067,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A7,10,,2016-01-01 00:43:00,2016,1,Friday,0,Part Three,LEYDEN ST,42.38969786,-71.00957095,"(42.38969786, -71.00957095)"
I162000020,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,A1,93,,2016-01-01 00:46:00,2016,1,Friday,0,Part Two,FANEUIL HALL MARKETPLACE,42.35997967,-71.05474135,"(42.35997967, -71.05474135)"
I162000023,03115,Investigate Person,INVESTIGATE PERSON,D4,157,,2016-01-01 00:49:00,2016,1,Friday,0,Part Three,SHAWMUT AVE,42.33983658,-71.07427557,"(42.33983658, -71.07427557)"
I162000025,02101,Operating Under the Influence,OPERATING UNDER THE INFLUENCE ALCOHOL,D14,749,,2016-01-01 00:52:00,2016,1,Friday,0,Part Two,COMMONWEALTH AVE,42.3390647,-71.15642795,"(42.33906470, -71.15642795)"
I162000048,03301,Verbal Disputes,VERBAL DISPUTE,C6,914,,2016-01-01 00:52:00,2016,1,Friday,0,Part Three,OLD COLONY AVE,42.32557398,-71.0524813,"(42.32557398, -71.05248130)"
I162000021,03008,Medical Assistance,SUICIDE / SUICIDE ATTEMPT,E18,496,,2016-01-01 00:54:00,2016,1,Friday,0,Part Three,HYDE PARK AVE,42.26922388,-71.12085347,"(42.26922388, -71.12085347)"
I162000306,01106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,A1,127,,2016-01-01 00:58:00,2016,1,Friday,0,Part Two,WASHINGTON ST,42.34876087,-71.06408261,"(42.34876087, -71.06408261)"
I162000040,03830,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PERSONAL INJURY,C11,344,,2016-01-01 00:59:00,2016,1,Friday,0,Part Three,CORONA ST,42.30097791,-71.07077333,"(42.30097791, -71.07077333)"
I162000722,03208,Property Lost,PROPERTY - MISSING,D4,129,,2016-01-01 01:00:00,2016,1,Friday,1,Part Three,SAINT JAMES AVE,42.35074192,-71.07146111,"(42.35074192, -71.07146111)"
I162000031,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,D14,800,,2016-01-01 01:00:00,2016,1,Friday,1,Part Two,PRATT ST,42.35501072,-71.12887911,"(42.35501072, -71.12887911)"
I162000045,02900,Other,VAL - VIOLATION OF AUTO LAW - OTHER,B3,468,,2016-01-01 01:00:00,2016,1,Friday,1,Part Two,HAZLETON ST,42.27882467,-71.09405158,"(42.27882467, -71.09405158)"
I162000518,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,A1,118,,2016-01-01 01:00:00,2016,1,Friday,1,Part Two,BOYLSTON ST,42.35241815,-71.06525499,"(42.35241815, -71.06525499)"
I162000148,03207,Property Found,PROPERTY - FOUND,A1,93,,2016-01-01 01:00:00,2016,1,Friday,1,Part Three,CONGRESS ST,42.3588621,-71.05680967,"(42.35886210, -71.05680967)"
I162001003,01402,Vandalism,VANDALISM,E18,538,,2016-01-01 01:00:00,2016,1,Friday,1,Part Two,CLEVELAND ST,42.25524883,-71.13082162,"(42.25524883, -71.13082162)"
I162000903,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,428,,2016-01-01 01:00:00,2016,1,Friday,1,Part Three,WILDWOOD ST,42.28236818,-71.08972869,"(42.28236818, -71.08972869)"
I162000166,03201,Property Lost,PROPERTY - LOST,C11,342,,2016-01-01 01:00:00,2016,1,Friday,1,Part Three,LEVANT ST,42.30357612,-71.06880797,"(42.30357612, -71.06880797)"
I162000018,03805,Motor Vehicle Accident Response,M/V ACCIDENT - POLICE VEHICLE,D4,151,,2016-01-01 01:02:00,2016,1,Friday,1,Part Three,BERKELEY ST,42.34646505,-71.07070436,"(42.34646505, -71.07070436)"
I162000024,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D14,758,,2016-01-01 01:06:00,2016,1,Friday,1,Part One,FANEUIL ST,42.3520434,-71.16491335,"(42.35204340, -71.16491335)"
I162000028,00423,Aggravated Assault,ASSAULT - AGGRAVATED,B3,944,,2016-01-01 01:10:00,2016,1,Friday,1,Part One,AMES WAY,42.28965805,-71.08634397,"(42.28965805, -71.08634397)"
I162000102,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A1,75,,2016-01-01 01:13:00,2016,1,Friday,1,Part Three,FRIEND ST,42.36439256,-71.06093185,"(42.36439256, -71.06093185)"
I162000278,00617,Larceny,LARCENY THEFT FROM BUILDING,D4,128,,2016-01-01 01:15:00,2016,1,Friday,1,Part One,STANHOPE ST,42.34868917,-71.07257992,"(42.34868917, -71.07257992)"
I162000019,03111,License Violation,LICENSE PREMISE VIOLATION,A7,23,,2016-01-01 01:20:00,2016,1,Friday,1,Part Three,BENNINGTON ST,42.37546983,-71.03730221,"(42.37546983, -71.03730221)"
I162000044,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E13,655,,2016-01-01 01:30:00,2016,1,Friday,1,Part Three,MOSS HILL RD,42.308157,-71.12462631,"(42.30815700, -71.12462631)"
I162000252,00617,Larceny,LARCENY THEFT FROM BUILDING,D4,597,,2016-01-01 01:30:00,2016,1,Friday,1,Part One,COLUMBUS AVE,42.33961848,-71.0828558,"(42.33961848, -71.08285580)"
I162000348,01201,Embezzlement,EMBEZZLEMENT,D4,130,,2016-01-01 01:35:00,2016,1,Friday,1,Part Two,EXETER ST,42.34828759,-71.07891773,"(42.34828759, -71.07891773)"
